id,status,expectativa_de_vida,escolaridade
0,desenvolvimento,65.0,10.1
1,desenvolvimento,59.9,10.0
2,desenvolvimento,59.9,9.9
3,desenvolvimento,59.5,9.8
4,desenvolvimento,59.2,9.5
5,desenvolvimento,58.8,9.2
6,desenvolvimento,58.6,8.9
7,desenvolvimento,58.1,8.7
8,desenvolvimento,57.5,8.4
9,desenvolvimento,57.3,8.1
10,desenvolvimento,57.3,7.9
11,desenvolvimento,57.0,6.8
12,desenvolvimento,56.7,6.5
13,desenvolvimento,56.2,6.2
14,desenvolvimento,55.3,5.9
15,desenvolvimento,54.8,5.5
16,desenvolvimento,77.8,14.2
17,desenvolvimento,77.5,14.2
18,desenvolvimento,77.2,14.2
19,desenvolvimento,76.9,14.2
20,desenvolvimento,76.6,13.3
21,desenvolvimento,76.2,12.5
22,desenvolvimento,76.1,12.2
23,desenvolvimento,75.3,12.0
24,desenvolvimento,75.9,11.6
25,desenvolvimento,74.2,11.4
26,desenvolvimento,73.5,10.8
27,desenvolvimento,73.0,10.9
28,desenvolvimento,72.8,10.7
29,desenvolvimento,73.3,10.7
30,desenvolvimento,73.6,10.6
31,desenvolvimento,72.6,10.7
32,desenvolvimento,75.6,14.4
33,desenvolvimento,75.4,14.4
34,desenvolvimento,75.3,14.4
35,desenvolvimento,75.1,14.4
36,desenvolvimento,74.9,14.0
37,desenvolvimento,74.7,13.6
38,desenvolvimento,74.4,13.1
39,desenvolvimento,74.1,12.6
40,desenvolvimento,73.8,12.3
41,desenvolvimento,73.4,12.3
42,desenvolvimento,72.9,12.0
43,desenvolvimento,72.3,11.7
44,desenvolvimento,71.7,11.5
45,desenvolvimento,71.6,11.1
46,desenvolvimento,71.4,10.9
47,desenvolvimento,71.3,10.7
48,desenvolvimento,52.4,11.4
49,desenvolvimento,51.7,11.4
50,desenvolvimento,51.1,11.4
51,desenvolvimento,56.0,10.3
52,desenvolvimento,51.0,9.4
53,desenvolvimento,49.6,9.0
54,desenvolvimento,49.1,8.5
55,desenvolvimento,48.7,8.1
56,desenvolvimento,48.2,7.7
57,desenvolvimento,47.7,7.2
58,desenvolvimento,47.4,6.8
59,desenvolvimento,47.1,6.4
60,desenvolvimento,46.8,5.9
61,desenvolvimento,46.5,5.5
62,desenvolvimento,45.7,5.1
63,desenvolvimento,45.3,4.6
64,desenvolvimento,76.4,13.9
65,desenvolvimento,76.2,13.9
66,desenvolvimento,76.1,13.9
67,desenvolvimento,75.9,13.8
68,desenvolvimento,75.7,14.1
69,desenvolvimento,75.6,14.1
70,desenvolvimento,75.4,14.2
71,desenvolvimento,75.2,14.4
72,desenvolvimento,75.0,14.5
73,desenvolvimento,74.8,14.7
74,desenvolvimento,74.6,0.0
75,desenvolvimento,74.4,0.0
76,desenvolvimento,74.2,0.0
77,desenvolvimento,74.0,0.0
78,desenvolvimento,73.8,0.0
79,desenvolvimento,73.6,0.0
80,desenvolvimento,76.3,17.3
81,desenvolvimento,76.2,17.3
82,desenvolvimento,76.0,17.3
83,desenvolvimento,75.9,17.2
84,desenvolvimento,75.7,17.1
85,desenvolvimento,75.5,16.8
86,desenvolvimento,75.6,16.5
87,desenvolvimento,75.4,16.3
88,desenvolvimento,74.8,16.3
89,desenvolvimento,75.2,16.1
90,desenvolvimento,74.9,16.3
91,desenvolvimento,74.7,16.3
92,desenvolvimento,74.1,16.4
93,desenvolvimento,74.1,16.3
94,desenvolvimento,74.0,15.6
95,desenvolvimento,74.1,15.0
96,desenvolvimento,74.8,12.7
97,desenvolvimento,74.6,12.7
98,desenvolvimento,74.4,12.7
99,desenvolvimento,74.4,12.7
100,desenvolvimento,73.9,12.7
101,desenvolvimento,73.5,12.3
102,desenvolvimento,73.3,11.9
103,desenvolvimento,73.2,12.3
104,desenvolvimento,73.5,11.7
105,desenvolvimento,72.9,11.2
106,desenvolvimento,73.0,10.9
107,desenvolvimento,73.0,10.9
108,desenvolvimento,72.7,10.8
109,desenvolvimento,72.6,10.8
110,desenvolvimento,72.6,11.1
111,desenvolvimento,72.0,11.2
112,desenvolvido,82.8,20.4
113,desenvolvido,82.7,20.4
114,desenvolvido,82.5,20.3
115,desenvolvido,82.3,20.1
116,desenvolvido,82.0,19.8
117,desenvolvido,81.9,19.5
118,desenvolvido,81.7,19.1
119,desenvolvido,81.3,19.1
120,desenvolvido,81.3,19.0
121,desenvolvido,81.2,20.3
122,desenvolvido,81.0,20.3
123,desenvolvido,86.0,20.7
124,desenvolvido,83.0,20.6
125,desenvolvido,79.9,20.1
126,desenvolvido,79.9,20.5
127,desenvolvido,79.5,20.4
128,desenvolvido,81.5,15.9
129,desenvolvido,81.4,15.9
130,desenvolvido,81.1,15.7
131,desenvolvido,88.0,15.7
132,desenvolvido,88.0,15.7
133,desenvolvido,84.0,15.4
134,desenvolvido,82.0,15.3
135,desenvolvido,84.0,15.1
136,desenvolvido,81.0,15.2
137,desenvolvido,79.8,15.0
138,desenvolvido,79.4,14.9
139,desenvolvido,79.3,14.7
140,desenvolvido,78.8,14.7
141,desenvolvido,78.7,16.1
142,desenvolvido,78.6,15.5
143,desenvolvido,78.1,15.4
144,desenvolvimento,72.7,12.7
145,desenvolvimento,72.5,12.2
146,desenvolvimento,72.2,11.9
147,desenvolvimento,71.9,11.8
148,desenvolvimento,71.6,11.7
149,desenvolvimento,71.1,11.7
150,desenvolvimento,78.0,11.6
151,desenvolvimento,73.0,11.6
152,desenvolvimento,73.0,11.6
153,desenvolvimento,69.2,10.7
154,desenvolvimento,68.4,11.2
155,desenvolvimento,68.4,11.0
156,desenvolvimento,67.8,10.8
157,desenvolvimento,67.8,10.6
158,desenvolvimento,67.5,10.4
159,desenvolvimento,66.6,10.1
160,desenvolvimento,76.1,12.6
161,desenvolvimento,75.4,12.6
162,desenvolvimento,74.8,12.6
163,desenvolvimento,74.9,12.6
164,desenvolvimento,75.0,12.6
165,desenvolvimento,75.0,12.6
166,desenvolvimento,74.6,12.6
167,desenvolvimento,74.5,12.6
168,desenvolvimento,74.4,12.5
169,desenvolvimento,74.2,12.4
170,desenvolvimento,74.1,12.4
171,desenvolvimento,73.8,12.3
172,desenvolvimento,73.2,12.2
173,desenvolvimento,73.1,12.1
174,desenvolvimento,72.9,12.1
175,desenvolvimento,72.6,12.0
176,desenvolvimento,76.9,14.5
177,desenvolvimento,76.8,14.5
178,desenvolvimento,76.7,14.5
179,desenvolvimento,76.5,14.5
180,desenvolvimento,76.1,14.4
181,desenvolvimento,76.1,14.4
182,desenvolvimento,76.0,14.4
183,desenvolvimento,75.8,14.4
184,desenvolvimento,75.6,14.4
185,desenvolvimento,75.5,14.2
186,desenvolvimento,75.3,14.0
187,desenvolvimento,75.2,13.9
188,desenvolvimento,75.0,13.7
189,desenvolvimento,74.9,13.5
190,desenvolvimento,74.7,13.3
191,desenvolvimento,74.5,13.2
192,desenvolvimento,71.8,10.2
193,desenvolvimento,71.4,10.0
194,desenvolvimento,71.0,10.0
195,desenvolvimento,77.0,9.9
196,desenvolvimento,73.0,9.4
197,desenvolvimento,69.9,8.9
198,desenvolvimento,69.5,8.4
199,desenvolvimento,69.1,8.6
200,desenvolvimento,68.6,8.6
201,desenvolvimento,68.2,8.4
202,desenvolvimento,67.8,8.2
203,desenvolvimento,67.3,8.1
204,desenvolvimento,66.8,7.9
205,desenvolvimento,66.3,7.7
206,desenvolvimento,65.8,7.5
207,desenvolvimento,65.3,7.3
208,desenvolvimento,75.5,15.3
