id,expec_vida,alcool,hepatite_b,sarampo,hiv_aids,escolaridade
0,65.0,0.01,65.0,1154,0.1,10.1
1,59.9,0.01,62.0,492,0.1,10.0
2,59.9,0.01,64.0,430,0.1,9.9
3,59.5,0.01,67.0,2787,0.1,9.8
4,59.2,0.01,68.0,3013,0.1,9.5
5,58.8,0.01,66.0,1989,0.1,9.2
6,58.6,0.01,63.0,2861,0.1,8.9
7,58.1,0.03,64.0,1599,0.1,8.7
8,57.5,0.02,63.0,1141,0.1,8.4
9,57.3,0.03,64.0,1990,0.1,8.1
10,57.3,0.02,66.0,1296,0.1,7.9
11,57.0,0.02,67.0,466,0.1,6.8
12,56.7,0.01,65.0,798,0.1,6.5
13,56.2,0.01,64.0,2486,0.1,6.2
14,55.3,0.01,63.0,8762,0.1,5.9
15,54.8,0.01,62.0,6532,0.1,5.5
16,77.8,4.6,99.0,0,0.1,14.2
17,77.5,4.51,98.0,0,0.1,14.2
18,77.2,4.76,99.0,0,0.1,14.2
19,76.9,5.14,99.0,9,0.1,14.2
20,76.6,5.37,99.0,28,0.1,13.3
21,76.2,5.28,99.0,10,0.1,12.5
22,76.1,5.79,98.0,0,0.1,12.2
23,75.3,5.61,99.0,0,0.1,12.0
24,75.9,5.58,98.0,22,0.1,11.6
25,74.2,5.31,98.0,68,0.1,11.4
26,73.5,5.16,98.0,6,0.1,10.8
27,73.0,4.54,99.0,7,0.1,10.9
28,72.8,4.29,97.0,8,0.1,10.7
29,73.3,3.73,96.0,16,0.1,10.7
30,73.6,4.25,96.0,18,0.1,10.6
31,72.6,3.66,96.0,662,0.1,10.7
33,75.4,0.01,95.0,0,0.1,14.4
34,75.3,0.53,95.0,25,0.1,14.4
35,75.1,0.66,95.0,18,0.1,14.4
36,74.9,0.56,95.0,112,0.1,14.0
37,74.7,0.45,95.0,103,0.1,13.6
38,74.4,0.5,94.0,107,0.1,13.1
39,74.1,0.46,91.0,217,0.1,12.6
