id,sexo,logica,quantitativa,dominios,prog_computador,cuidadoso,afiabilidade,sociavel,neuroticismo,experiencias,salario,formado
604399,f,665,810,0.6944793277084631,485,-0.159,0.3789,1.2396,0.1459,0.2889,37083.333333333336,7
582313,m,620,635,0.990008756723898,655,-0.4463,0.2124,0.3174,0.2727,0.4805,35000.0,7
339001,f,495,365,0.278457409311292,315,-1.4992,-0.7473,-1.0697,0.0622299999999999,0.1864,16666.666666666668,8
609356,f,595,620,0.37605958665154493,455,0.8463,-0.6201,-0.7585,-0.995,-0.2859,36666.666666666664,7
1183070,m,555,440,0.7447583540089391,525,-0.159,-0.4536,0.1637,0.5262,-0.0943,16250.0,6
794062,f,410,560,0.622642915849938,385,-0.7335,-0.4536,-0.2974,1.4136,0.6721,16666.666666666668,6
1088206,m,630,485,0.207392169717661,405,1.7081,0.5454,0.9322,-0.4879,0.8637,27916.666666666668,7
471413,f,445,605,0.7656735812340111,485,-1.9629,-2.1903,-2.775,0.4148,-0.4455,40000.0,7
1088423,f,530,705,0.486747008438193,615,0.99,0.7119,-0.1437,-1.1218,0.8637,45833.333333333336,6
1066680,m,630,750,0.33878634721952805,485,1.2772,1.0449,0.7785,-1.2486,0.6721,27083.333333333332,6
407672,m,515,465,0.525922584252055,415,0.1623,0.9688,1.1074,0.4442,-0.1295,33750.0,8
205633,m,245,485,0.735795709224656,475,-1.3447,-1.3713,-0.4891,0.1798,1.2923,41666.666666666664,9
924541,f,570,620,0.953899775079926,425,1.2772,0.0459,0.6248,-1.3753,0.6721,17500.0,6
512353,m,495,280,0.793580614548506,495,-0.1855,-0.1232,-0.4891,-1.2303,-1.3934,33333.333333333336,7
1136577,m,505,595,0.356536487724475,555,0.2718,0.7119,0.3174,-0.1076,1.4386,30000.0,7
781327,m,340,430,0.14325654103219598,295,-1.8825,-2.2851,-0.2974,-0.2344,-0.6692,20000.0,7
203323,m,565,495,0.9303706072026908,565,-0.880999999999999,0.6568,0.672,1.4724,0.3444,35833.333333333336,9
669692,m,365,310,0.0745462652358558,255,-2.0262,-1.9521,-2.6028,0.0192,-2.5853,50000.0,7
48029,m,495,695,0.9872070858908678,645,-1.4992,0.5008,0.2366,0.6498,0.6603,41666.666666666664,10
1259836,m,530,440,0.622642915849938,455,1.7081,0.8784,1.7007,0.1459,0.8637,27500.0,7
