idade,renda_anual,tipo_propriedade,tempo_de_emprego,objetivo,classificacao,valor_emprestimo,taxa_juros,devedor,relacao_emprestimo_renda,foi_inadimplente
24,60000,Alugado,4.0,Médico,A,10000,7.49,0,0.17,N
32,38000,Alugado,0.0,Educação,B,7200,10.08,0,0.19,N
27,33000,Hipotecado,6.0,Empreendimento,A,12000,7.51,0,0.36,N
22,52000,Hipotecado,6.0,Empreendimento,C,2650,12.99,0,0.05,S
22,50000,Hipotecado,6.0,Empreendimento,A,6800,6.92,0,0.14,N
31,46000,Alugado,1.0,Empreendimento,D,13000,14.59,1,0.28,N
34,74700,Próprio,10.0,Médico,B,14000,9.91,0,0.19,N
23,120000,Alugado,0.0,Educação,A,35000,7.9,0,0.29,N
29,115000,Próprio,12.0,Educação,D,35000,15.28,0,0.3,S
29,45000,Próprio,13.0,Empreendimento,B,15000,11.49,0,0.33,N
30,80004,Alugado,2.0,Quitação de dívidas,B,10000,12.21,1,0.12,N
26,85000,Próprio,10.0,Educação,B,10000,12.18,0,0.12,N
23,41000,Alugado,2.0,Quitação de dívidas,C,3000,11.03,0,0.07,S
46,60000,Alugado,9.0,Empreendimento,D,15000,16.32,0,0.25,N
35,41000,Hipotecado,0.0,Quitação de dívidas,B,8000,10.83,0,0.2,N
37,26240,Alugado,0.0,Empreendimento,B,6600,11.49,0,0.25,N
23,81000,Alugado,7.0,Médico,C,18000,13.98,0,0.22,N
33,80000,Alugado,10.0,Quitação de dívidas,A,6000,8.49,0,0.07,N
24,56000,Hipotecado,8.0,Educação,A,10000,7.49,0,0.18,N
23,88500,Hipotecado,2.0,Educação,C,5000,13.99,0,0.06,N
29,100000,Hipotecado,8.0,Reforma Casa,B,7000,9.88,0,0.07,N
23,74004,Alugado,7.0,Quitação de dívidas,E,25000,16.35,1,0.34,N
24,61000,Alugado,2.0,Reforma Casa,B,20000,12.18,1,0.33,N
48,16800,Próprio,0.0,Reforma Casa,B,3300,10.99,1,0.2,N
32,135000,Hipotecado,16.0,Pessoal,A,13000,7.88,0,0.1,N
43,30000,Alugado,0.0,Pessoal,C,11525,13.57,1,0.38,S
31,30372,Alugado,2.0,Pessoal,D,20200,14.74,1,0.67,N
31,86500,Próprio,0.0,Empreendimento,C,25000,13.57,0,0.29,N
24,35100,Alugado,8.0,Empreendimento,C,1000,13.49,0,0.03,S
27,40000,Alugado,11.0,Médico,A,20000,6.91,1,0.5,N
36,32004,Alugado,3.0,Empreendimento,B,5000,10.62,0,0.16,N
25,30500,Alugado,5.0,Médico,B,6400,11.49,0,0.21,N
23,140000,Próprio,6.0,Educação,C,16400,15.96,0,0.12,N
26,127500,Próprio,9.0,Médico,D,24250,15.31,0,0.19,S
25,75000,Hipotecado,9.0,Pessoal,C,10000,11.34,0,0.13,S
28,112200,Alugado,11.0,Médico,C,7000,11.66,0,0.06,S
25,34400,Alugado,9.0,Empreendimento,C,5000,13.49,0,0.15,N
26,75000,Próprio,10.0,Médico,B,9250,12.69,0,0.12,N
33,90000,Hipotecado,0.0,Reforma Casa,B,8000,12.53,0,0.09,N
25,83800,Alugado,2.0,Quitação de dívidas,D,25000,15.95,1,0.3,S
27,65000,Hipotecado,11.0,Pessoal,A,18000,7.51,0,0.28,N
40,55000,Alugado,14.0,Reforma Casa,A,18000,7.88,1,0.33,N
23,33500,Alugado,2.0,Educação,E,2500,15.68,1,0.07,S
27,156000,Hipotecado,11.0,Quitação de dívidas,A,5000,6.54,0,0.03,N
23,110000,Hipotecado,7.0,Empreendimento,B,20000,11.14,0,0.18,N
25,45996,Alugado,3.0,Empreendimento,C,11500,12.53,0,0.25,N
53,106000,Hipotecado,38.0,Pessoal,B,20000,9.88,0,0.19,N
